Posting Date;Prod. Order No.;No.;lot size;good pcs;scrap pcs;Value Entry - User ID;Posted in NAV;Expected time;Dev - minutes
20.08.2025;WO072882;E-LINE;24.00;120;0;HR-ELINE;332.93;300.00;-32.93
20.08.2025;WO072014;F-LINE;13.00;74;0;HR-ELINE;4.52;341.54;337.02
20.08.2025;WO073235;G-LINE;16.00;63;1;HR-ELINE;364.72;236.25;-128.47
20.08.2025;WO073235;G-LINE;16.00;100;0;HR-ELINE;2.61;375.00;372.39
20.08.2025;WO073765;GS-MTM;1.50;4;0;HR-GS-SPINNER;0.30;160.00;159.70
19.08.2025;WO072949;F-LINE;13.00;5;0;HR-ELINE;0.43;23.08;22.65
19.08.2025;WO073274;GS-SOK;3.00;3;0;HR-GS-SPINNER;60.00;60.00;0.00
19.08.2025;WO073245;B-LINE;108.00;153;3;HR-BLINE;98.52;85.00;-13.52
19.08.2025;WO072802;E-LINE;23.00;50;0;HR-ELINE;153.97;130.43;-23.54
19.08.2025;WO072882;E-LINE;24.00;80;0;HR-ELINE;270.58;200.00;-70.58
19.08.2025;WO072014;F-LINE;13.00;71;0;HR-ELINE;0.45;327.69;327.24
19.08.2025;WO072014;F-LINE;13.00;74;0;HR-ELINE;410.58;341.54;-69.04
19.08.2025;WO072014;F-LINE;13.00;76;28;HR-ELINE;455.68;350.77;-104.91
19.08.2025;WO073185;G-LINE;16.00;22;0;HR-ELINE;99.48;82.50;-16.98
19.08.2025;WO073185;G-LINE;16.00;71;0;HR-ELINE;0.34;266.25;265.91
19.08.2025;WO073532;G-LINE;16.00;50;0;HR-ELINE;217.66;187.50;-30.16
19.08.2025;WO073235;G-LINE;16.00;20;5;HR-ELINE;137.94;75.00;-62.94
19.08.2025;WO073235;G-LINE;16.00;41;6;HR-ELINE;360.26;153.75;-206.51
19.08.2025;WO073765;GS-MTM;1.50;4;0;HR-GS-SPINNER;0.25;160.00;159.75
19.08.2025;WO073765;GS-MTM;1.50;8;0;HR-GS-SPINNER;0.19;320.00;319.81
19.08.2025;WO073476;GS-SOK;3.00;1;0;HR-GS-SPINNER;20.00;20.00;0.00
19.08.2025;WO073542;GS-SOK;3.00;4;0;HR-GS-SPINNER;80.00;80.00;0.00
19.08.2025;WO073479;GS-SOK;3.00;2;0;HR-GS-SPINNER;40.00;40.00;0.00
18.08.2025;WO073822;F-LINE;13.00;2;0;HR-ELINE;0.29;9.23;8.94
18.08.2025;WO073822;F-LINE;13.00;56;4;HR-ELINE;404.96;258.46;-146.50
18.08.2025;WO073822;F-LINE;13.00;58;0;HR-ELINE;253.94;267.69;13.75
18.08.2025;WO074244;B-LINE;108.00;145;3;HR-BLINE;270.02;80.56;-189.46
18.08.2025;WO074244;B-LINE;108.00;380;2;HR-BLINE;249.20;211.11;-38.09
18.08.2025;WO073245;B-LINE;108.00;47;3;HR-BLINE;102.74;26.11;-76.63
18.08.2025;WO073033;E-LINE;25.00;50;0;HR-ELINE;168.31;120.00;-48.31
18.08.2025;WO073022;E-LINE;25.00;26;0;HR-ELINE;84.41;62.40;-22.01
18.08.2025;WO073185;G-LINE;16.00;25;0;HR-ELINE;35.47;93.75;58.28
18.08.2025;WO073185;G-LINE;16.00;92;0;HR-ELINE;434.47;345.00;-89.47
18.08.2025;WO073549;GS-DUAL;2.00;2;0;HR-GS-SPINNER;0.40;60.00;59.60
18.08.2025;WO073565;GS-LINE;1.50;2;0;HR-GS-SPINNER;0.41;80.00;79.59
18.08.2025;WO073561;GS-LINE;1.20;2;0;HR-GS-SPINNER;1.76;100.00;98.24
03.08.2025;WO074509;B-LINE;108.00;296;0;HR-BLINE;187.71;164.44;-23.27
03.08.2025;WO074509;B-LINE;108.00;765;2;HR-BLINE;467.26;425.00;-42.26
02.08.2025;WO073709;C-LINE;23.00;210;0;HR-BLINE;0.33;547.83;547.50
02.08.2025;WO074509;B-LINE;108.00;710;0;HR-BLINE;458.47;394.44;-64.03
