Shipment Date;Line;Work Order;Sales Order;No.;Customer;Description;Color;Status;Qty;Weld;Paint;Shipped;Rest;Rest price
19.7.2024;G-LINE;WO067961;SO025534;141152;KENDA Europe A/S;WB AG9.50x14.5 H2 6/161/205 Ø21.5 R16 ET0 RFH;RAL9006;Finished;3;3;1;0;3;92,55
1.8.2024;-;(blank);SO025998;19020;Kenda Rubber Industrial Co. Europe GmbH;Custom Hub according drawing;;(blank);1;0;0;0;1;500
30.8.2024;A-LINE;WO067256;SO025295;360836;KENDA België NV;WI EK 2.50Ax8 25x80/88;RAL3000;Released;100;100;95;95;5;41,85
6.9.2024;B-LINE;WO067547;SO025382;684239;KENDA België NV;WI GK 4.50Ix9 H2 35x66/90 TL White 6207 2RS;BIANCO AZZURRATO;Released;500;500;457;457;43;821,73
6.9.2024;F-LINE;WO067830;SO025492;659510;STARCO Polska Sp. Z.o.o.;WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET0;RAL9006;Released;100;100;99;99;1;68,06
13.9.2024;B-LINE;WO066223;SO024906;144566;STARCO Polska Sp. Z.o.o.;WI EK 5.50Ax8 H2 25x87/101 TL Grey RAL7035 6205;RAL7035;Released;500;500;195;195;305;3333,65
13.9.2024;B-LINE;WO067084;SO025223;736693;STARCO Polska Sp. Z.o.o.;WI EK 5.50Ax8 H2 25x85/95;RAL9006;Released;400;400;180;180;220;2455,2
20.9.2024;SPIN;WO069429;SO026030;646336;KENDA Europe A/S;WD Plug-fit 12mm  Ø440,0mm;UNPAINTED;Finished;4;4;4;0;4;180,88
18.10.2024;E-LINE;WO069160;SO025937;640143;KENDA Polska Sp. z.o.o.;WB 6.00Ix10 H2 4/56.5/100 Ø13 C60 ET0;RAL9006;Released;100;100;91;91;9;167,49
18.10.2024;G-LINE;WO069412;SO026025;681306;KENDA Polska Sp. z.o.o.;WB 13LBx15 H2 6/161/205 Ø21.5 R16 ET0;RAL7035;Released;20;20;19;19;1;57,24
30.10.2024;B-LINE;WO067771;SO025469;276427;KENDA België NV;WI GK 4.00Ex9 35x68;RAL9006;Released;500;500;440;440;60;969
31.10.2024;B-LINE;WO067775;SO025470;663838;KENDA België NV;WI GK 3.50Dx8 H2 35x68 TL Silver RAL9006;RAL9006;Released;500;500;458;458;42;562,8
31.10.2024;B-LINE;WO067781;SO025470;684239;KENDA België NV;WI GK 4.50Ix9 H2 35x66/90 TL White 6207 2RS;BIANCO AZZURRATO;Released;500;500;468;468;32;611,52
31.10.2024;E-LINE;WO069569;SO026079;276540;KENDA Polska Sp. z.o.o.;WB 6.00Ix10 H2 4/60/100 Ø16 R12 ET-4;RAL9006;Released;150;150;147;147;3;53,88
8.11.2024;-;(blank);SO026252;143996;KENDA Deutschland GmbH;WB 9.00x15.3 H2 6/161/205 Ø21.5 R16 ET0;;(blank);10;0;0;0;10;214,4
15.11.2024;B-LINE;WO070296;SO025503;274539;KENDA België NV;WB 3.50Bx10 H2 4/60/100 Ø14.5 C60 ET0;;Firm Planned;650;0;0;577;73;594,22
15.11.2024;C-LINE;WO069143;SO025920;316215;KENDA Polska Sp. z.o.o.;WI GK 4.50Ax6 H2 25x90;RAL9006;Released;200;200;106;106;94;929,66
15.11.2024;C-LINE;WO069156;SO025933;541747;KENDA Polska Sp. z.o.o.;WI EK 4.50Ax6 H 25x90/98;RAL9006;Released;300;300;164;164;136;1332,8
22.11.2024;COMPONENT;(blank);SO026337;581064;KENDA Europe A/S;GS Lead Nut for SOK Nut DIN   M16 1.50 S355J2G3...;;(blank);1;0;0;0;1;2,64
22.11.2024;COMPONENT;(blank);SO026337;157511;KENDA Europe A/S;DU Headspindle  MD/SOK 340mm;;(blank);1;0;0;0;1;8,24
22.11.2024;GS-LINE;WO070372;SO026337;695532;KENDA Europe A/S;DU AW Spacer Standard 12-160,0 DTS;RAL9006;Finished;1;1;1;0;1;58,8
28.11.2024;G-LINE;WO069074;SO025889;641935;AGROTES D.O.O.;WB 7Jx15 H2 6/161/205 Ø21.5 R16 ET0;RAL9006;Finished;70;70;69;68;2;112,6
29.11.2024;G-LINE;WO070165;SO026282;681306;KENDA Polska Sp. z.o.o.;WB 13LBx15 H2 6/161/205 Ø21.5 R16 ET0;RAL7035;Released;40;40;39;39;1;57,24
30.11.2024;C-LINE;WO067888;SO025503;139968;KENDA België NV;WB 2.50Ax8 H2 4/60/100 Ø14.5 C60 ET0;RAL9006;Finished;250;250;250;216;34;203,32
