MAIN BOM;No.;Description;Quantity per;Link;Draw
100005;555652;DU Spacer Standard 28-200;1.00;62R280004_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R280004_BM.pdf
100005;559254;DU Clamp ring 28-45;1.00;559254_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\559254_BM.pdf
100005;594545;RM W10x28;1.00;594545_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\594545_BM.pdf
100005;CP1002;POWDER RAL3002 CARMINE RED;0.45;;
100425;60100240S01;RIM 10WX24 (5mm);1.00;60100240S01-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60100240S01-2.pdf
100425;61P2400170;"24"" PLUGGED DISC 8/275/221";1.00;DPC61P2400170;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P2400170.pdf
100425;CP1057;POWDER RAL9003 WHITE SIGNAL;0.35;;
100494;497068;RM DWW15Lx34;1.00;;
100494;695938;WD Formed T-mount 12mm  Ø780,0-Ø764,1mm;1.00;61S3200117_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S3200117_BM.pdf
100494;CP1031;POWDER KUBOTA ORANGE;0.67;;
100500;62R320024;"32"" GS RING";1.00;;
100500;CP1064;POWDER RAL3020 RED;0.18;;
100500;ST2012;STEEL STRIP 30x20x4000 DD11;0.60;;
100630;60055080S07;RIM 5,50IX8 H2 (2,5MM);1.00;60055080S07-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60055080S07-2.pdf
100630;61P0800057;"DISC 8""PRES 4/101,6/67";1.00;DPC61P0800057;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P0800057.pdf
100630;CP1088;POWDER GREY MET 9006 RESIST;0.06;;
100692;545493;RM W10x32;1.00;;
100692;559285;DU Clamp ring 32-45;1.00;559285_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\559285_BM.pdf
100692;735320;DU Spacer Stepped 32/28-190,0;1.00;62R320069_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R320069_BM.pdf
100708;564951;DU Spacer Stepped 44/38K-300;1.00;62R440005_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R440005_BM.pdf
100708;579559;RM W10x46;1.00;;
100791;486260;RM DWW23Bx42;1.00;;
