Truck;Routing;LINE;seq;WO;Rondela;Obrada;customer;item;drawing;EAN;description;qty;Plazma;Disk;Strip;Varenje;Farbanje
;;;2;;;;;743523;;743523;;85;;0;;0;0
;;;4;;;;;116259;;116259;;4;;0;;0;0
;;;5;;;;;556727;;556727;;4;;0;;0;0
;;;7;;;;;329031;;329031;;10;;0;;0;0
;;;8;;;;;141282;;141282;;40;;0;;0;0
;;;9;;;;;329031;;329031;;10;;0;;0;0
;;;10;;;;;719719;;719719;;40;;0;;0;0
;;;11;;;;;141282;;141282;;100;;0;;0;0
;;;12;;;;;735016;;735016;;4;;0;;0;0
;;;13;;;;;457192;;457192;;10;;0;;0;0
;;;14;;;;;662923;;662923;;10;;0;;0;0
;;;15;;;;;149707;;149707;;8;;0;;0;0
;;;16;;;;;141282;;141282;;20;;0;;0;0
;;;17;;;;;141275;;141275;;8;;0;;0;0
;;;18;;;;;719719;;719719;;40;;0;;0;0
;;;19;;;;;735016;;735016;;6;;0;;0;0
;;;20;;;;;743523;;743523;;50;;0;;0;0
;;;21;;;;;614052;;614052;;224;;200;;161;0
;;;22;;;;;621722;;621722;;12;;0;;0;0
;;;23;;;;;117683;;117683;;10;;0;;0;0
;;;24;;;;;167008;;167008;;50;;0;;0;0
;;;25;;;;;167008;;167008;;50;;0;;0;0
;;;26;;;;;143736;;143736;;20;;0;;0;0
;;;27;;;;;376332;;376332;;4;;0;;0;0
;;;28;;;;;713069;;713069;;38;;0;;0;0
;;;29;;;;;469768;;469768;;100;;0;;0;0
;;;30;;;;;733975;;733975;;150;;0;;0;0
;;;31;;;;;743325;;743325;;20;;0;;0;0
;;;32;;;;;142203;;142203;;10;;0;;0;0
;;;33;;;;;118529;;118529;;4;;0;;0;0
;;;34;;;;;657172;;657172;;6;;0;;0;0
;;;35;;;;;709239;;709239;;14;;0;;0;0
;;;36;;;;;686899;;686899;;63;;0;;0;0
;;;37;;;;;105871;;105871;;30;;0;;0;0
;;;38;;;;;495118;;495118;;10;;0;;0;0
;;;39;;;;;357850;;357850;;660;;376;;295;0
;;;40;;;;;447414;;447414;;80;;0;;0;0
;;;41;;;;;576831;;576831;;24;;0;;0;0
;;;42;;;;;586977;;586977;;10;;0;;0;0
;;;43;;;;;535340;;535340;;15;;0;;0;0
;;;44;;;;;143828;;143828;;10;;0;;0;0
;;;45;;;;;143828;;143828;;80;;0;;0;0
;;;46;;;;;712116;;712116;;20;;0;;0;0
;;;47;;;;;149660;;149660;;20;;0;;0;0
;;;48;;;;;110813;;110813;;120;;0;;0;0
;;;49;;;;;113715;;113715;;180;;0;;0;0
;;;50;;;;;614564;;614564;;80;;0;;0;0
;;;51;;;;;709048;;709048;;4;;0;;0;0
;;;52;;;;;707136;;707136;;8;;0;;0;0
;;;53;;;;;559537;;559537;;82;;0;;0;0
;;;53;;;;;559537;;559537;;68;;0;;0;0
;;;53;;;;;307206;;307206;;50;;0;;0;0
;;;54;;;;;282435;;282435;;100;;0;;0;0
;;;55;;;;;274386;;274386;;20;;0;;0;0
;;;56;;;;;143910;;143910;;96;;0;;0;0
;;;57;;;;;713571;;713571;;50;;0;;0;0
;;;58;;;;;143941;;143941;;100;;0;;0;0
;;;59;;;;;139623;;139623;;50;;0;;0;0
;;;60;;;;;274430;;274430;;12;;0;;0;0
;;;61;;;;;422107;;422107;;60;;0;;0;0
;;;62;;;;;453606;;453606;;18;;0;;0;0
;;;63;;;;;453606;;453606;;4;;0;;0;0
;;;64;;;;;453606;;453606;;12;;0;;0;0
;;;65;;;;;442075;;442075;;60;;0;;0;0
;;;66;;;;;596976;;596976;;55;;0;;0;0
;;;67;;;;;596990;;596990;;60;;0;;0;0
;;;68;;;;;716596;;716596;;50;;0;;0;0
;;;69;;;;;105789;;105789;;50;;0;;0;0
;;;70;;;;;723846;;723846;;96;;0;;0;0
;;;71;;;;;717654;;717654;;64;;0;;0;0
;;;72;;;;;293219;;293219;;60;;0;;0;0
;;;73;;;;;105109;;105109;;60;;0;;0;0
;;;74;;;;;459707;;459707;;24;;0;;0;0
;;;75;;;;;143774;;143774;;18;;0;;0;0
;;;76;;;;;143774;;143774;;20;;0;;0;0
;;;77;;;;;385471;;385471;;100;;0;;0;0
;;;78;;;;;613444;;613444;;100;;0;;0;0
;;;79;;;;;613444;;613444;;100;;0;;0;0
;;;80;;;;;617572;;617572;;50;;0;;0;0
;;;81;;;;;618241;;618241;;80;;0;;0;0
;;;82;;;;;678979;;678979;;12;;0;;0;0
;;;83;;;;;700830;;700830;;60;;0;;0;0
;;;84;;;;;594293;;594293;;100;;0;;0;0
;;;85;;;;;713540;;713540;;100;;0;;0;0
;;;86;;;;;293202;;293202;;56;;0;;0;0
;;;87;;;;;713540;;713540;;100;;0;;0;0
;;;88;;;;;102672;;102672;;100;;0;;0;0
;;;89;;;;;374680;;374680;;100;;0;;0;0
;;;90;;;;;497433;;497433;;24;;0;;0;0
;;;91;;;;;713540;;713540;;50;;0;;0;0
