Line;seq;SO;Ext.order;WO;Status;print;obrada;Drawings;Truck;Truck date;CUSTOMER;Customer comment;EAN;DESCRIPTION;DESCRIPTION2;Color;QTY;Reason - comment;Nav Painted;WELDED;SHIPPED;STOCK;REST;TBP;logic palet 1;logic palet 2;logic palet 3;logic palet 4;BIG;EURO;PROGRESS;calc;Rest2;EX.SHIP DATE;Unit price;Rest price
E-LINE;1;SO027408;5010094004;WO073519;Released;2;CO Puncher;Drawing;ST;45923;STIGA S.p.A. spare-parts ;PRIO;274218;WB 7.00Ix10 H2 4/60/101.6 Ø14.5 C60 ET20;Silver RAL9006 STARCO 660@16;RAL9006;5;;0;5;0;0;5;5;0,0625;;0;0,0625;;1;0;5;5;45821;14,2;71
E-LINE;1;SO027442;5010095631;WO073636;Released;2;CO Puncher;Drawing;ST;45923;STIGA S.p.A. spare-parts ;PRIO;274218;WB 7.00Ix10 H2 4/60/101.6 Ø14.5 C60 ET20;Silver RAL9006 STARCO 660@16;RAL9006;3;;0;3;0;0;3;3;0,0375;;0;0,0375;;1;0;3;3;45821;14,2;42,6
E-LINE;1;SO027443;5010094992;WO073637;Released;2;CO Puncher;Drawing;ST;45923;STIGA S.p.A. spare-parts ;PRIO;274218;WB 7.00Ix10 H2 4/60/101.6 Ø14.5 C60 ET20;Silver RAL9006 STARCO 660@16;RAL9006;7;;0;7;0;0;7;7;0,0875;;0;0,0875;;1;0;7;7;45821;37,12;259,84
E-LINE;0;SO027443;5010094992;WO073638;Released;1;CO Puncher;Drawing;ST;45923;STIGA S.p.A. spare-parts ;PRIO;274225;WB 8.50Ix12 H2 4/60/101.6 Ø14.5 C60 ET20;Silver RAL9006 STARCO 790@20;RAL9006;7;;0;7;0;0;7;7;0,145833333;;0;0,145833333;;1;0;7;7;45821;49,24;344,68
GS-MTM;0;SO026524;L7M/1RZ048;WO071019;Released;7;prolazne rupe;Drawing;RB-0610;45936;ROSENBAUER INTERNATIONAL AG;;725147;WB 18.00/1.5-21 H 10/281/335 Ø26 ET35;Black RAL9005 STARCO 6500@90;RAL9005;40;;38;40;-38;0;2;2;0,5;;0;0,5;;1;0,95;2;2;45834;751,41;1502,82
GS-MTM;0;SO027403;L7M/1TI997;WO073499;Released;5;prolazne rupe;Drawing;RB-0610;45936;ROSENBAUER INTERNATIONAL AG;;725147;WB 18.00/1.5-21 H 10/281/335 Ø26 ET35;Black RAL9005 STARCO 6500@90;RAL9005;40;;39;40;-39;0;1;1;0,25;;0;0,25;;1;0,975;1;1;45930;751,41;751,41
F-LINE;0;SO026275;PO009664;WO075153;Released;1;CO Puncher;Drawing;DE-0910;45939;KENDA Deutschland GmbH;;158129;WB W9x18 H2 6/161/205 Ø21.5 R16 ET-12;Orange RAL2004 CP1108 STARCO 2700@20;RAL2004;2;;0;0;0;0;2;2;0,125;;0;0,125;;1;0;2;2;45681;86,88;173,76
D-LINE;0;SO026296;PO009687;WO070200;Finished;2;CO Puncher;Drawing;DE-0710;45937;KENDA Deutschland GmbH;prio wk27;559537;WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET0 RFH;VG7 Silver RAL9006 STARCO 3750@40;RAL9006;50;NEMA NA SKLAD-DORADA;50;50;-40;10;10;0;1;;1;0;1;;1;0;0;45695;96,63;966,3
A-LINE;9;SO026961;PO010006;WO072158;Released;1;;Drawing;DE-2310;45953;KENDA Deutschland GmbH;PRIO S;200750;WI GR 2.50Ax8 25x90/86;TL Grey RAL7035 STARCO 350@16;RAL7035;1;zavareno-bez lezaja;0;0;0;0;1;1;0,002469136;;0;0,002469136;;1;0;1;1;45737;6,39;6,39
B-LINE;0;SO026734;PO009899;WO075160;Released;1;CO Puncher;Drawing;DE-0910;45939;KENDA Deutschland GmbH;;375106;WB 7.00Ax8 H2 4/60/100 Ø14.5 C60 ET0;Grey RAL9023 STARCO 300@15;RAL9023;5;;5;5;0;5;5;0;0,04;;0;0,04;;1;1;0;0;45759;15,18;75,9
MTM-SBM;0;SO026916;PO009986;WO072036;Released;4;;Drawing;DE-1410;45944;KENDA Deutschland GmbH;PRIO 1;672281;WI EK 7.00Ix8 H2 30x92/102;TL Orange RAL2002 6206-2RS C3 STARCO 560@20;RAL2002;200;Saturday - zavareno;186;0;-186;0;14;14;0,112;;0;0,112;;1;0,93;14;14;45770;25,38;355,32
MTM-SBM;0;SO027048;PO010042;WO072413;Finished;4;;Drawing;DE-0910;45939;KENDA Deutschland GmbH;;672281;WI EK 7.00Ix8 H2 30x92/102;TL Orange RAL2002 6206-2RS C3 STARCO 560@20;RAL2002;151;;151;0;-150;1;1;0;0,008;;0;0,008;;1;1;0;0;45799;26,65;26,65
F-LINE;0;SO027049;PO010041;WO075145;Released;1;;Drawing;DE-1410;45944;KENDA Deutschland GmbH;;143897;WB 13.00x17 H2 6/161/205 Ø21.5 R16.0 ET0 VG;Silver RAL9006 STARCO 2360@40 + VL TR618A Steel...;RAL9006;15;;0;0;0;0;15;15;1;;1;0;1;;0;15;15;45812;60,05;900,75
G-LINE;0;SO027232;PO010062;WO073043;Released;3;OC;Drawing;;;KENDA Deutschland GmbH;PRIO 12;688909;WB 6Jx16 H2 6/161/205 Ø20 R14 ET0;Silver RAL9006 STARCO 1500@90;RAL9006;100;;99;100;-99;0;1;1;0,033333333;;0;0,033333333;;1;0,99;1;1;45815;42,99;42,99
A-LINE;4;SO027198;PO010102;WO072879;Released;1;;Drawing;DE-1410;45944;KENDA Deutschland GmbH;PRIO CLASS;542218;WI GK 6.00-4 25x179 RFD;TT Orange RAL2002 60052RS STARCO 420@16;RAL2002;152;PRIO 50 KOM;0;0;0;0;152;152;0,241269841;;0;0,241269841;;1;0;152;152;45821;24,21;3679,92
D-LINE;15;SO027035;PO010012;WO072357;Released;2;CO Puncher;Drawing;DE-2110;45951;KENDA Deutschland GmbH;;719719;WB AG24.00x22.5 H2 8/221/275 Ø27 R18 ET-50;VG3 Silver RAL9006 STARCO 5600@50;RAL9006;40;;0;0;0;0;40;40;10;;10;0;10;;0;40;40;45821;152,23;6089,2
MTM-SBM;0;SO027057;PO010038;WO072440;Released;2;prolazne rupe;Drawing;DE-2110;45951;KENDA Deutschland GmbH;PRIO 2;714547;WB W12x28 6/135/170 Ø17 ET-36;VG2 Orange CP1031 STARCO 1100@30;KUBOTA ORANGE;6;;0;0;0;0;6;6;2;;2;0;2;;0;6;6;45821;151,72;910,32
F-LINE;0;SO027369;PO010019;WO073451;Released;2;prolazne rupe;Drawing;DE-2410;45954;KENDA Deutschland GmbH;PRIO 9;709048;WB W14Lx20 H2 6/135.3/170 Ø17 ET-126;White CP1073 STARCO 1600@40;BIANCO LUCIDO;4;;0;0;0;0;4;4;0,5;;0;0,5;;1;0;4;4;45821;108,64;434,56
C-LINE;0;SO027173;PO010089;WO072750;Released;1;;Drawing;DE-0710;45937;KENDA Deutschland GmbH;;161594;WI GK 7.00Ix8 H2 25x64/73 TL Orange RAL2002 6205;2RS C3 STARCO 375@20 + VL TR412 Rubber Snap-In ...;RAL2002;500;;441;500;-441;0;59;59;0,472;;0;0,472;;1;0,882;59;59;45828;12,8;755,2
GS-MTM;0;SO027230;PO010107;WO073024;Released;1;CO Puncher;Drawing;DE-1410;45944;KENDA Deutschland GmbH;prio wk27;738260;WB 6.00Ix10 H2 4/60/101.6 Ø14 C60 ET0;Silver KENDA 750@140;RAL9006;20;;0;0;0;0;20;20;0,208333333;;0;0,208333333;;1;0;20;20;45828;49,67;993,4
D-LINE;13;SO027174;PO010088;WO072757;Released;1;prolazne rupe;Drawing;DE-1410;45944;KENDA Deutschland GmbH;PRIO 3;735016;WB DW11x24 6/135/170 Ø18.5 ET-76;VG3 Orange CP1031 STARCO 900@40;KUBOTA ORANGE;4;;0;0;0;0;4;4;0,666666667;;0;0,666666667;;1;0;4;4;45828;106,21;424,84
A-LINE;1;SO027179;PO004867;WO072810;Released;1;;Drawing;GB-0810;45938;KENDA GB Rugeley Ltd;PRIO;262826;WI GO 2.50Ax8 35,3x63,5;TL Red RAL3002 STARCO 250@16;RAL3002;810;;0;810;0;0;810;810;2;;2;0;2;;0;810;810;45834;4,59;3717,9
