Shipment Date;Line;Work Order;Sales Order;No.;Customer;Description;Status;draw;Qty;Weld;Paint;Shipped;Rest;Rest price
19.07.2024;G-LINE;WO067961;SO025534;141152;KENDA Europe A/S;WB AG9.50x14.5 H2 6/161/205 Ø21.5 R16 ET0 RFH;Finished;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\P145-095-032-STR_BM.pdf;3;3;1;0;3;92.55
01.08.2024;-;(blank);SO025998;19020;Kenda Rubber Industrial Co. Europe GmbH;Custom Hub according drawing;(blank);;1;0;0;0;1;500.00
30.08.2024;A-LINE;WO067256;SO025295;360836;KENDA België NV;WI EK 2.50Ax8 25x80/88;Released;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\WP-080-025-014_BM.pdf;100;100;95;95;5;41.85
06.09.2024;B-LINE;WO067547;SO025382;684239;KENDA België NV;WI GK 4.50Ix9 H2 35x66/90 TL White 6207 2RS;Released;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\684239_BM.pdf;500;500;457;457;43;821.73
06.09.2024;F-LINE;WO067830;SO025492;659510;STARCO Polska Sp. Z.o.o.;WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET0;Released;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\P170-160-083-STR_BM.pdf;100;100;99;99;1;68.06
13.09.2024;B-LINE;WO066223;SO024906;144566;STARCO Polska Sp. Z.o.o.;WI EK 5.50Ax8 H2 25x87/101 TL Grey RAL7035 6205;Released;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\144566_BM.pdf;500;500;195;195;305;3333.65
13.09.2024;B-LINE;WO067084;SO025223;736693;STARCO Polska Sp. Z.o.o.;WI EK 5.50Ax8 H2 25x85/95;Released;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\WP-080-055-116_BM.pdf;400;400;180;180;220;2455.20
20.09.2024;SPIN;WO069429;SO026030;646336;KENDA Europe A/S;WD Plug-fit 12mm  Ø440,0mm;Finished;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S2000023_BM.pdf;4;4;4;0;4;180.88
18.10.2024;E-LINE;WO069160;SO025937;640143;KENDA Polska Sp. z.o.o.;WB 6.00Ix10 H2 4/56.5/100 Ø13 C60 ET0;Released;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\P100-060-101-STR_BM.pdf;100;100;91;91;9;167.49
18.10.2024;G-LINE;WO069412;SO026025;681306;KENDA Polska Sp. z.o.o.;WB 13LBx15 H2 6/161/205 Ø21.5 R16 ET0;Released;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\W150-130-078-STR_BM.pdf;20;20;19;19;1;57.24
30.10.2024;B-LINE;WO067771;SO025469;276427;KENDA België NV;WI GK 4.00Ex9 35x68;Released;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\276427_BM.pdf;500;500;440;440;60;969.00
31.10.2024;B-LINE;WO067775;SO025470;663838;KENDA België NV;WI GK 3.50Dx8 H2 35x68 TL Silver RAL9006;Released;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\663838_BM.pdf;500;500;458;458;42;562.80
