date-time;Work Order;Item no.;No.;Qty;Description;Customer code;Customer
(blank);WO052198;672120;G-LINE;0;WB 11LBx16 H2 6/161/205 Ø21.5 R16 ET-20;1000106;KENDA Deutschland GmbH
(blank);WO053049;670720;A-LINE;0;WI GK 6.00-4 20x175/169 RFD;1000106;KENDA Deutschland GmbH
(blank);WO053648;139623;E-LINE;0;WB 10.50Ix12 H2 5/94/140 Ø18.5 R14 ET0;1000106;KENDA Deutschland GmbH
(blank);WO054330;552880;F-LINE;0;WB W9x18 H2 8/221/275 Ø27 R18 ET0;1000106;KENDA Deutschland GmbH
(blank);WO055455;675350;G-LINE;0;WB 6Jx13 H2 6/130/180 Ø16.5 R14 ET109;1000404;KENDA Schweiz AG
(blank);WO055873;471341;G-LINE;0;WB 11LBx16 H2 6/161/205 Ø21.5 R16 ET0;1000106;KENDA Deutschland GmbH
(blank);WO056426;624617;A-LINE;-101;WI GK 2.10-4 17x115/95;1000106;KENDA Deutschland GmbH
(blank);WO056832;514765;B-LINE;-600;WI GG 4.375Ax8 H2 20,1x89,5/81,5 TL Grey CP1066;;
(blank);WO056840;514765;B-LINE;-600;WI GG 4.375Ax8 H2 20,1x89,5/81,5 TL Grey CP1066;;
(blank);WO057205;481913;PRODFINISH;-800;DU Clamp SOK weld-on;;
(blank);WO057640;720616;GS-STEP SPACER;0;DU Wheel MD/HD DW15Lx50/42K-350,0   285VSM;1007234;BOHNENKAMP A/S
(blank);WO057640;727332;GS-LINE;0;DU Wheel MD/HD DW15Lx50/42K-350,0   285VSM;1007234;BOHNENKAMP A/S
(blank);WO057715;458366;E-LINE;0;WB 10.50Ix12 H2 10/93/140 Ø15 - ET-50;1000106;KENDA Deutschland GmbH
(blank);WO057718;542218;A-LINE;0;WI GK 6.00-4 25x179 RFD;1000106;KENDA Deutschland GmbH
(blank);WO057721;622934;F-LINE;0;WB W13x20 H2 8/221/275 Ø21.5 R16 ET60;1000106;KENDA Deutschland GmbH
(blank);WO057763;519357;G-LINE;0;WB 12LBx15 H2 10/93/140 Ø15 - ET-70;1000106;KENDA Deutschland GmbH
(blank);WO057828;442075;E-LINE;0;WB 7.00Ix12 H2 4/60/100 Ø16 R12 ET-4;1000106;KENDA Deutschland GmbH
(blank);WO057829;439457;F-LINE;0;WB 9.00x15.3 H2 6/161/205 Ø21.5 R16 ET-12;1000106;KENDA Deutschland GmbH
(blank);WO057900;640150;A-LINE;140;WI EPL 2.10C-4 19,2x70 RFD;1007180;BOHNENKAMP SE
(blank);WO057979;498843;A-LINE;0;STEEL BUSHING fi13/20X24 Flange 2,5x21,5;1007234;BOHNENKAMP A/S
(blank);WO058027;494685;ROLLING-LINE;0;DU Wheel MD/HD W15Lx30-285,0  Emc2;1007234;BOHNENKAMP A/S
(blank);WO058028;726564;GS-LINE;0;DU Wheel MD/HD DWW15Lx38/34K-300,0   250VSM;1007234;BOHNENKAMP A/S
(blank);WO058028;726779;GS-STEP SPACER;0;DU Wheel MD/HD DWW15Lx38/34K-300,0   250VSM;1007234;BOHNENKAMP A/S
(blank);WO058029;703961;;0;DU Wheel MD/HD DD16x46/38K-350,0;1007234;BOHNENKAMP A/S
