Posting Date;No.;Customer;Value;Credit memo;Shipping cost;Total sales
02.07.2025;;;30487.09;-29509;-65960;1443805
02.07.2025;;;21993.02;;;
02.07.2025;;;4885.74;;;
04.07.2025;;;390.40;;;
04.07.2025;;;4445.96;;;
04.07.2025;;;10496.69;;;
07.07.2025;;;43264.13;;;
08.07.2025;;;39199.88;;;
08.07.2025;;;60166.61;;;
09.07.2025;;;34039.89;;;
10.07.2025;;;27353.48;;;
10.07.2025;;;42655.14;;;
11.07.2025;;;34052.60;;;
11.07.2025;;;44565.70;;;
14.07.2025;;;46784.61;;;
14.07.2025;;;20965.77;;;
14.07.2025;;;238.00;;;
14.07.2025;;;8626.46;;;
14.07.2025;;;23914.22;;;
15.07.2025;;;6155.81;;;
16.07.2025;;;68611.30;;;
16.07.2025;;;42542.87;;;
17.07.2025;;;8553.04;;;
17.07.2025;;;52850.88;;;
18.07.2025;;;44483.01;;;
21.07.2025;;;43833.26;;;
21.07.2025;;;50914.21;;;
22.07.2025;;;33197.00;;;
23.07.2025;;;53897.05;;;
24.07.2025;;;32209.64;;;
24.07.2025;;;55428.30;;;
25.07.2025;;;30771.66;;;
25.07.2025;;;3891.02;;;
25.07.2025;;;189.00;;;
25.07.2025;;;53780.59;;;
25.07.2025;;;35530.82;;;
25.07.2025;;;4838.24;;;
28.07.2025;;;23546.64;;;
28.07.2025;;;41083.24;;;
28.07.2025;;;26237.24;;;
28.07.2025;;;25990.49;;;
28.07.2025;;;6539.38;;;
28.07.2025;;;12018.70;;;
29.07.2025;;;23575.10;;;
30.07.2025;;;20513.33;;;
30.07.2025;;;6225.30;;;
30.07.2025;;;680.92;;;
30.07.2025;;;13575.72;;;
30.07.2025;;;3162.13;;;
30.07.2025;;;240.48;;;
31.07.2025;;;52824.29;;;
31.07.2025;;;567.44;;;
31.07.2025;;;42413.44;;;
31.07.2025;;;61699.14;;;
31.07.2025;;;6366.25;;;
31.07.2025;;;712.84;;;
31.07.2025;;;6228.95;;;
31.07.2025;;;980.50;;;
31.07.2025;;;13668.79;;;
31.07.2025;;;26474.31;;;
31.07.2025;;;2741.01;;;
31.07.2025;;;297.66;;;
31.07.2025;;;656.70;;;
13.08.2025;;;50.58;;;
;;;1539273.66;;;
