"Posting Date";"Document No.";"Item No.";"Item ledger entry no.";"Sales amount (actual)";"Customer Code";"Sum of Invoiced Quantity";"WO";"Description";"Customer"
"2025-07-22";"SI013626";"260761.0";"156772.0";"120.0";"1002666.0";"-10.0";"";"WOOD PALLET 1,20 X 1,26M HEAT TREATED";"ROSENBAUER INTERNATIONAL AG"
"2025-07-22";"SI013626";"260808.0";"156773.0";"145.8";"1002666.0";"-20.0";"";"WOOD TOP COVER 1,20X1,26 M HEAT TREATED";"ROSENBAUER INTERNATIONAL AG"
"2025-07-22";"SI013626";"722023.0";"156771.0";"32931.2";"1002666.0";"-40.0";"WO073221";"WB 18.00/1.5-21 10/281/335 Ø26 ET80";"ROSENBAUER INTERNATIONAL AG"
"2025-07-21";"SI013623";"112084.0";"156538.0";"55.56";"1000106.0";"-2.0";"WO072093";"WB 10.50Ix12 H2 10/93/140 Ø15 - ET-50 Silver";"KENDA Deutschland GmbH"
"2025-07-21";"SI013623";"112084.0";"156544.0";"2583.54";"1000106.0";"-93.0";"WO072941";"WB 10.50Ix12 H2 10/93/140 Ø15 - ET-50 Silver";"KENDA Deutschland GmbH"
"2025-07-21";"SI013623";"112091.0";"156539.0";"1222.0";"1000106.0";"-52.0";"WO072442";"WB 7.00Ix12 H2 5/93/140 Ø15 ET-10 Silver RAL9006";"KENDA Deutschland GmbH"
"2025-07-21";"SI013623";"117676.0";"156550.0";"1132.08";"1000106.0";"-8.0";"WO073727";"WB 14x18 H2 10/175.8/225 Ø24 ET156";"KENDA Deutschland GmbH"
"2025-07-21";"SI013623";"143729.0";"156545.0";"13201.5";"1000106.0";"-195.0";"WO072949";"WB 13.00x17 H2 10/93/140 Ø15 ET-39 Silver RAL9006";"KENDA Deutschland GmbH"
"2025-07-21";"SI013623";"143729.0";"156548.0";"6093.0";"1000106.0";"-90.0";"WO073184";"WB 13.00x17 H2 10/93/140 Ø15 ET-39 Silver RAL9006";"KENDA Deutschland GmbH"
"2025-07-21";"SI013623";"143873.0";"156549.0";"11311.08";"1000106.0";"-228.0";"WO073189";"WB 13LBx15 H2 6/161/205 Ø21.5 R16 ET0 VG2 Silver";"KENDA Deutschland GmbH"
"2025-07-21";"SI013623";"143897.0";"156543.0";"300.25";"1000106.0";"-5.0";"WO072937";"WB 13.00x17 H2 6/161/205 Ø21.5 R16.0 ET0 VG";"KENDA Deutschland GmbH"
"2025-07-21";"SI013623";"159942.0";"156551.0";"27.0";"1000106.0";"-3.0";"";"Euro Pallets 80x120cm";"KENDA Deutschland GmbH"
