Posting Date;Document No.;Item No.;Item ledger entry no.;Sales;Customer Code;Qty;Work Order;Description;Customer
31-07-2025;SI013654;159942;158351;54.00;1000103;-6;;Euro Pallets 80x120cm;KENDA GB Rugeley Ltd
31-07-2025;SI013654;260761;158352;480.00;1000103;-40;;WOOD PALLET 1,20 X 1,26M HEAT TREATED;KENDA GB Rugeley Ltd
31-07-2025;SI013654;260808;158353;291.60;1000103;-40;;WOOD TOP COVER 1,20X1,26 M HEAT TREATED;KENDA GB Rugeley Ltd
31-07-2025;SI013654;262291;158354;23.04;1000103;-6;;WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED;KENDA GB Rugeley Ltd
31-07-2025;SI013654;275963;158348;10676.05;1000103;-77;WO073247;WB AG16.00x22.5 H2 8/221/275 Ø21.5 R16 ET-12;KENDA GB Rugeley Ltd
31-07-2025;SI013654;614014;158341;349.44;1000103;-4;WO072133;WB W13x20 H2 5/290/335 Ø21.5 R22.4 ET10;KENDA GB Rugeley Ltd
31-07-2025;SI013654;614014;158343;1223.04;1000103;-14;WO073233;WB W13x20 H2 5/290/335 Ø21.5 R22.4 ET10;KENDA GB Rugeley Ltd
31-07-2025;SI013654;614052;158344;6431.04;1000103;-154;WO073234;WB 9.00x15.3 H2 6/161/205 Ø20 R16 ET-45;KENDA GB Rugeley Ltd
31-07-2025;SI013654;676517;158345;4604.32;1000103;-112;WO073236;WB 9.00x15.3 H2 6/161/205 Ø21.5 R16 ET23;KENDA GB Rugeley Ltd
31-07-2025;SI013654;274522;158347;2810.00;1000103;-500;WO073242;WB 2.50Ax8 H2 4/85/115 Ø12.5 C90 ET0;KENDA GB Rugeley Ltd
31-07-2025;SI013654;614564;158349;14814.36;1000103;-172;WO073251;WB W13x20 H2 8/221/275 Ø21.5 R16 ET-15;KENDA GB Rugeley Ltd
31-07-2025;SI013654;161242;158350;1109.20;1000103;-8;WO073675;WB AG16.00x22.5 H2 8/221/275 Ø21.5 R16 ET-12;KENDA GB Rugeley Ltd
31-07-2025;SI013654;274515;158342;3194.10;1000103;-702;WO072812;WB 2.50Ax8 H2 4/67/101.6 Ø11.5 C90 ET0;KENDA GB Rugeley Ltd
31-07-2025;SI013654;274515;158346;3194.10;1000103;-702;WO073240;WB 2.50Ax8 H2 4/67/101.6 Ø11.5 C90 ET0;KENDA GB Rugeley Ltd
31-07-2025;SI013655;159942;158360;9.00;1000103;-1;;Euro Pallets 80x120cm;KENDA GB Rugeley Ltd
31-07-2025;SI013655;262291;158361;3.84;1000103;-1;;WOOD TOP COVER 1,2 0X 0,8M HEAT TREATED;KENDA GB Rugeley Ltd
